,eta,"count(Hn=0.005, Hp=0.005)","count(Hn=0.010, Hp=0.010)","count(Hn=0.020, Hp=0.020)","count(Hn=0.030, Hp=0.030)","count(Hn=0.040, Hp=0.040)"
77,-0.03382765531062125,,,,,18.0
78,-0.03374749498997996,,,,,18.0
79,-0.03366733466933868,,,,,18.0
80,-0.033587174348697395,,,,,18.0
81,-0.033507014028056115,,,,,18.0
82,-0.033426853707414834,,,,,18.0
83,-0.03334669338677355,,,,,18.0
84,-0.03326653306613227,,,,,18.0
85,-0.03318637274549099,,,,,18.0
86,-0.0331062124248497,,,,,18.0
87,-0.03302605210420842,,,,,18.0
88,-0.03294589178356714,,,,,18.0
89,-0.03286573146292585,,,,,18.0
90,-0.03278557114228457,,,,,18.0
91,-0.03270541082164329,,,,,18.0
92,-0.032625250501002005,,,,,18.0
93,-0.032545090180360725,,,,,18.0
94,-0.032464929859719445,,,,,18.0
95,-0.03238476953907816,,,,,18.0
96,-0.03230460921843688,,,,,18.0
97,-0.0322244488977956,,,,,18.0
98,-0.03214428857715431,,,,,18.0
99,-0.03206412825651303,,,,,18.0
100,-0.03198396793587174,,,,,18.0
101,-0.03190380761523046,,,,,18.0
102,-0.03182364729458918,,,,,18.0
103,-0.031743486973947896,,,,,18.0
104,-0.031663326653306616,,,,,18.0
105,-0.031583166332665336,,,,,18.0
106,-0.03150300601202405,,,,,18.0
107,-0.03142284569138277,,,,,18.0
108,-0.03134268537074149,,,,,18.0
109,-0.0312625250501002,,,,,18.0
110,-0.03118236472945892,,,,,18.0
111,-0.031102204408817637,,,,,18.0
112,-0.031022044088176357,,,,,18.0
113,-0.030941883767535074,,,,,18.0
114,-0.03086172344689379,,,,,18.0
115,-0.030781563126252506,,,,,18.0
116,-0.030701402805611226,,,,,18.0
117,-0.030621242484969943,,,,,18.0
118,-0.03054108216432866,,,,,18.0
119,-0.03046092184368738,,,,,18.0
120,-0.030380761523046095,,,,,18.0
121,-0.03030060120240481,,,,,18.0
122,-0.03022044088176353,,,,,18.0
123,-0.030140280561122248,,,,,18.0
124,-0.030060120240480964,,,,,18.0
125,-0.029979959919839684,,,,18.0,18.0
126,-0.0298997995991984,,,,18.0,18.0
127,-0.029819639278557117,,,,18.0,18.0
128,-0.029739478957915833,,,,18.0,18.0
129,-0.029659318637274553,,,,18.0,18.0
130,-0.02957915831663327,,,,18.0,18.0
131,-0.029498997995991986,,,,18.0,18.0
132,-0.029418837675350706,,,,18.0,18.0
133,-0.029338677354709422,,,,18.0,18.0
134,-0.02925851703406814,,,,18.0,18.0
135,-0.02917835671342686,,,,18.0,18.0
136,-0.029098196392785575,,,,18.0,18.0
137,-0.02901803607214429,,,,18.0,18.0
138,-0.028937875751503007,,,,18.0,18.0
139,-0.028857715430861727,,,,18.0,18.0
140,-0.028777555110220444,,,,18.0,18.0
141,-0.02869739478957916,,,,18.0,18.0
142,-0.02861723446893788,,,,18.0,18.0
143,-0.028537074148296596,,,,18.0,18.0
144,-0.028456913827655313,,,,18.0,18.0
145,-0.028376753507014033,,,,18.0,18.0
146,-0.02829659318637275,,,,18.0,18.0
147,-0.028216432865731465,,,,18.0,18.0
148,-0.02813627254509018,,,,18.0,18.0
149,-0.0280561122244489,,,,18.0,18.0
150,-0.027975951903807618,,,,18.0,18.0
151,-0.027895791583166334,,,,18.0,18.0
152,-0.027815631262525054,,,,18.0,18.0
153,-0.02773547094188377,,,,18.0,18.0
154,-0.027655310621242487,,,,18.0,18.0
155,-0.027575150300601207,,,,18.0,18.0
156,-0.027494989979959923,,,,18.0,18.0
157,-0.02741482965931864,,,,18.0,18.0
158,-0.027334669338677356,,,,18.0,18.0
159,-0.027254509018036076,,,,18.0,18.0
160,-0.027174348697394792,,,,18.0,18.0
161,-0.02709418837675351,,,,18.0,18.0
162,-0.02701402805611223,,,,18.0,18.0
163,-0.026933867735470945,,,,18.0,18.0
